0.00192445	0.00291446	0.00222787	0.00338598	0.000182775	0.0155929	0.00145371	0.00127595	
0.00193998	0.00293645	0.00225217	0.00341511	0.000182865	0.0156957	0.00146034	0.00128149	
0.00209882	0.0031612	0.00250376	0.00371414	0.000184749	0.0167476	0.00152725	0.00133736	
0.00501521	0.00728472	0.00777515	0.00943948	0.000425084	0.0363786	0.00257704	0.00222108	
0.052223	0.0211994	0.0204186	0.0826903	0.0384247	0.0763712	0.0127416	0.0191538	
0.00325529	0.02962	0.0575613	0.0555309	0.051362	0.0515658	0.00413945	0.0484838	
0.0149884	0.0436417	0.0348694	0.0553332	0.0199969	0.132963	0.0341824	0.0158076	
0.0480572	0.0730757	0.14675	0.217345	0.158992	0.26146	0.0813192	0.0952973	
0.000118142	0.0127646	0.0149242	0.011458	0.0014402	0.0148241	0.0295858	0.0531054	
0.0219928	0.0523282	0.00482191	0.0320018	0.0186787	0.0183149	0.00843712	0.022978	
0.0171128	0.0371862	0.017662	0.0751226	0.0672621	0.275379	0.0656768	0.0650884	
0.0805337	0.122753	0.171629	0.300552	0.194635	0.392944	0.0960688	0.103577	
0.0163317	0.0189006	0.00208484	0.0492096	0.00765987	0.0547527	0.0353129	0.0364294	
0.0557434	0.141832	0.227585	0.184076	0.175345	0.144482	0.123555	0.115545	
0.0853963	0.164344	0.244222	0.349601	0.228823	0.350881	0.114868	0.11624	
0.0357445	0.0421277	0.038151	0.0617633	0.118727	0.254344	0.0932845	0.107306	
0.135715	0.185929	0.209794	0.371828	0.267019	0.446432	0.111871	0.14459	
0.0921785	0.211758	0.315884	0.330594	0.260113	0.263917	0.170862	0.139013	
0.144246	0.231981	0.296237	0.421768	0.297236	0.424154	0.140579	0.150627	
0.121919	0.122063	0.279745	0.312392	0.283075	0.378409	0.0961978	0.180236	
0.177111	0.260314	0.333036	0.458324	0.322581	0.452958	0.129637	0.177127	
0.0148832	0.0071416	0.0272501	0.00509507	0.0287659	0.0749243	0.0293421	0.00267629	
0.000354928	0.119698	0.230012	0.213999	0.150636	0.0657294	0.257809	0.043086	
0.132886	0.259782	0.353317	0.389245	0.299085	0.342345	0.199641	0.156222	
0.191795	0.285626	0.366495	0.471164	0.339517	0.451042	0.15569	0.176938	
0.224868	0.312746	0.376114	0.551869	0.396364	0.470071	0.160544	0.206823	
0.00426494	0.190955	0.133676	0.0328865	0.0291969	0.0028286	0.209278	0.0838768	
0.23258	0.319569	0.444055	0.501825	0.372526	0.412527	0.208402	0.201018	
0.298731	0.343271	0.43771	0.573232	0.409964	0.482279	0.183283	0.210189	
0.259473	0.241076	0.451291	0.530958	0.373479	0.495605	0.155537	0.200838	
0.332937	0.3594	0.467914	0.591614	0.417272	0.497084	0.177771	0.210088	
0.0119974	0.0402739	0.108823	0.127755	0.0813679	0.31976	0.182547	0.213217	
0.270478	0.34226	0.426635	0.567303	0.408808	0.51244	0.207618	0.223387	
0.361149	0.374153	0.467142	0.600098	0.427948	0.507894	0.191429	0.216142	
0.0574808	0.280095	0.36411	0.44467	0.309684	0.340935	0.149743	0.20484	
0.325419	0.391296	0.498503	0.633681	0.460959	0.494824	0.189547	0.21815	
0.313583	0.358848	0.446954	0.624343	0.446484	0.52113	0.175953	0.216618	
0.440928	0.401334	0.493514	0.644383	0.469836	0.525227	0.186001	0.220069	
0.159975	0.188365	0.396912	0.41822	0.32999	0.222676	0.260434	0.182273	
0.465465	0.404195	0.505031	0.640723	0.472236	0.511227	0.20686	0.223344	
0.458853	0.412068	0.495641	0.655819	0.484875	0.530484	0.180408	0.222275	
0.497913	0.420912	0.510276	0.658727	0.48873	0.535954	0.196866	0.225483	
0.538605	0.436644	0.520445	0.671206	0.520102	0.559971	0.192019	0.228228	
0.0808351	0.195612	0.254853	0.23066	0.23119	0.219863	0.254136	0.173934	
0.550479	0.448171	0.528427	0.662636	0.514215	0.555502	0.213261	0.233901	
0.58747	0.452885	0.535773	0.690212	0.528529	0.574082	0.200786	0.232816	
0.592749	0.455011	0.538191	0.690546	0.529062	0.574261	0.204555	0.233562	
0.606639	0.469084	0.544853	0.693855	0.541728	0.592224	0.196137	0.236056	
0.127431	0.204881	0.374876	0.331457	0.226687	0.120692	0.26126	0.177845	
0.609793	0.469598	0.554185	0.690907	0.539573	0.579625	0.220366	0.239167	
0.638968	0.477608	0.555342	0.702878	0.548604	0.60051	0.209677	0.239679	
0.641267	0.478347	0.556565	0.703497	0.549211	0.601064	0.211526	0.240106	
0.660271	0.48814	0.565811	0.710076	0.560501	0.615623	0.215528	0.245082	
0.000334714	0.110074	0.171312	0.0511896	0.024699	0.00673288	0.226986	0.11413	
0.538813	0.460544	0.554629	0.610802	0.518091	0.515452	0.250678	0.247769	
0.66341	0.491146	0.569547	0.708532	0.560982	0.613668	0.221896	0.246953	
0.666241	0.492588	0.569729	0.711326	0.56449	0.620069	0.215741	0.246365	
0.670579	0.494256	0.572657	0.711772	0.564276	0.618493	0.222207	0.247898	
0.673153	0.495266	0.573167	0.71305	0.56587	0.62139	0.220699	0.248032	
0.687569	0.506603	0.58787	0.716685	0.574716	0.626325	0.233351	0.255212	
0.0100219	0.0497105	0.010029	0.00661978	0.120564	0.162406	0.219775	0.0395702	
0.196954	0.204471	0.188382	0.127187	0.11783	0.270979	0.0712066	0.174115	
0.669964	0.507098	0.582927	0.71101	0.57399	0.634182	0.219618	0.254339	
0.694721	0.508531	0.587851	0.718732	0.577414	0.63442	0.229074	0.25526	
0.708616	0.516837	0.599203	0.723075	0.583202	0.644519	0.235538	0.259905	
0.561101	0.500035	0.46574	0.28014	0.499418	0.307493	0.207397	0.229968	
0.722225	0.528657	0.609127	0.710894	0.598915	0.636634	0.235585	0.260646	
0.468877	0.401057	0.469763	0.354067	0.354528	0.337876	0.251198	0.233206	
0.722998	0.529156	0.614998	0.726588	0.592126	0.648861	0.24824	0.264897	
0.730128	0.531589	0.617113	0.734467	0.596569	0.656183	0.244057	0.264757	
0.737739	0.539544	0.63062	0.739225	0.6027	0.655809	0.253642	0.272543	
0.00550103	0.00904453	0.0270597	0.0647655	0.0331543	0.178517	0.181294	0.00224768	
